,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,CPOM.OM.AREA.g.m2,CPOM.ASH.AREA.g.m2,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHLA.MG.M2.HAUER,EPIL.PHAEO.MG.M2.HAUER,EPIL.640.664,PHICOCYANIN.MG.M2,EPIL.CHLA.MG.M2.RITCHIE,EPIL.CHLB.MG.M2.RITCHIE,EPIL.CHLC.MG.M2.RITCHIE,EPIL.CHLD.MG.M2.RITCHIE,EPIL.CHL.TOTAL.MG.M2.RITCHIE,EPIP.OM.AREA.g.m2,EPIP.ASH.AREA.g.m2,EPIP.CHLA.MG.M2.HAUER,EPIP.PHAEO.MG.M2.HAUER,EPIP.640.664,EPIP.PHICOCYANIN.MG.M2,EPIP.CHLA.MG.M2.RITCHIE,EPIP.CHLB.MG.M2.RITCHIE,EPIP.CHLC.MG.M2.RITCHIE,EPIP.CHLD.MG.M2.RITCHIE,EPIP.CHL.TOTAL.MG.M2.RITCHIE,FBOM.AREA.g.m2,FBOM.ASH.AREA.g.m2,FBOM.CHLA.MG.M2.HAUER,FBOM.PHAEO.MG.M2.HAUER,FBOM.640.664,FBOM.PHICOCYANIN.MG.M2,FBOM.CHLA.MG.M2.RITCHIE,FBOM.CHLB.MG.M2.RITCHIE,FBOM.CHLC.MG.M2.RITCHIE,FBOM.CHLD.MG.M2.RITCHIE,FBOM.CHL.TOTAL.MG.M2.RITCHIE,FILA.OM.AREA.g.m2,FILA.ASH.AREA.g.m2,FILA.CHLA.MG.M2.HAUER,FILA.PHAEO.MG.M2.HAUER,FILA..640.664,FILA.CHLA.MG.M2.RITCHIE,FILA.CHLB.MG.M2.RITCHIE,FILA.CHLC.MG.M2.RITCHIE,FILA.CHLD.MG.M2.RITCHIE,FILA.CHL.TOTAL.MG.M2.RITCHIE,MACRO.OM.AREA.g.m2,MACRO.ASH.AREA.g.m2,TOTAL.ALGAL.BIOMASS.g.m2,TOTAL.CHLA.MG.M2.RITCHIE
180,LTREB,8/18/2020,BG,1,COBBLE,21.5,,,2.360287101,14.00066772,30.13081423,13.29789085,1.209794838,24.08048205,37.367584,4.255747369,4.945449028,0.921539166,47.49055881,,,,,,,,,,,,4.41E-08,1.55E-07,4.052117647,1.384473529,1.323529412,6.59835,4.591589324,0.158929265,0.258603265,0.042060324,5.051212529,,,,,,,,,,,,,2.36E+00,41.95917332
181,LTREB,8/18/2020,BG,2,COBBLE,28.5,,,25.86816204,177.1311434,49.98649636,25.81269894,1.43488195,60.62795672,63.07375066,11.49392196,8.513950026,2.46703916,85.54905465,,,,,,,,,,,,6.60E-08,6.05E-07,5.2065,3.204,1.30952381,40.6695,6.484632,0.008541,0.7597215,0.0195195,7.2724575,,,,,,,,,,,,,2.59E+01,69.55838266
182,LTREB,8/18/2020,BG,3,COBBLE,28.5,,,33.63737951,177.2100632,87.51734118,40.28419937,1.27532629,33.82152575,108.5650168,16.08842225,14.88405429,2.919092306,142.4572664,,,,,,,,,,,,6.65E-08,3.45E-07,0.724714286,3.080035714,1.347826087,23.6379,2.623799571,-0.394138714,-0.448785429,-0.631223429,1.149665571,,,,,,,,,,,,,3.36E+01,111.1888164
183,LTREB,8/18/2020,BG,4,COBBLE,32.25,,,26.93211808,172.822706,20.29896597,82.32358422,1.350204082,23.64262321,67.27916194,11.40530082,9.094648816,2.467622026,90.24715497,,,,,,,,,,,,6.96E-08,7.45E-07,3.4443,2.88460125,1.35483871,9.72015,5.355933263,-0.164502413,0.684657825,-0.1198539,5.75627025,,,,,,,,,,,,,2.69E+01,72.6350952
184,LTREB,8/18/2020,BG,5,COBBLE,27,,,11.79938944,67.13445713,43.81642236,18.16027753,1.234628975,31.2209132,53.57620026,6.793519896,6.926538143,1.405419647,68.70201863,,,,,,,,,,,,6.45E-08,3.23E-07,2.813268293,2.602273171,1.392857143,10.3275,3.564816585,0.996550244,1.065933659,0.473863171,6.101187366,,,,,,,,,,,,,1.18E+01,57.14101684
215,LTREB,9/1/2020,BG,1,COBBLE,21,,,16.20486896,89.17939251,5.759568199,21.28230688,1.065155807,60.41048878,21.00488637,2.564224266,1.244693354,0.638906948,25.45284562,,,,,,,,,,,,2.21E-08,2.03E-07,5.607,1.85031,1.357142857,13.3518,7.57659315,1.51364745,1.8206706,0.94652985,11.85749355,,,,,,,,,,,,,1.62E+01,28.58147952
216,LTREB,9/1/2020,BG,2,COBBLE,33.75,,,26.93796399,325.1262598,27.09650513,72.28648305,1.443235894,50.88282087,77.23832622,11.14651795,12.39924411,2.977142157,103.7617243,,,,,,,,,,,,2.53E-08,1.67E-07,9.01125,3.975551471,1.34,25.754625,12.74820287,2.80236375,3.028959265,1.831161838,20.41077706,,,,,,,,,,,,,2.69E+01,89.98652909
217,LTREB,9/1/2020,BG,3,COBBLE,28.5,,,20.29116168,152.2597094,10.75431569,19.35776824,1.461538462,54.03376761,24.41885172,3.047684986,3.148057839,0.716063696,31.33081442,,,,,,,,,,,,2.14E-08,1.74E-07,4.185225,1.67409,1.375,16.8378,6.59997585,-0.49022679,3.01108371,1.36042983,10.48132131,,,,,,,,,,,,,2.03E+01,31.01882757
218,LTREB,9/1/2020,BG,4,COBBLE,34,,,26.54511868,222.5983111,5.219511127,23.81745341,1.266490765,68.46171307,21.90953072,3.287288337,2.488891934,0.95457893,28.64043036,,,,,,,,,,,,2.33E-08,2.00E-07,4.8416,3.20756,1.384615385,14.62,8.1268704,3.515563733,2.793712,1.732889333,16.16908987,,,,,,,,,,,,,2.65E+01,30.03640112
219,LTREB,9/1/2020,BG,5,COBBLE,29.75,,,3.682924764,328.1485965,6.49005002,7.965061388,1.393103448,29.08037394,12.01402566,1.945032119,1.348028787,0.822235297,16.12940092,,,,,,,,,,,,7.50E-08,6.34E-07,10.36076087,14.78135217,1.365671642,49.385,20.33002467,3.044185565,2.955057152,1.77709038,28.10649617,,,,,,,,,,,,,3.68E+00,32.34405033
16,LTREB,9/29/2020,BG,1,COBBLE,17.5,,,11.26624223,62.11866436,,,1.281517748,25.1252635,69.5355318,4.97650214,11.86398429,1.69841534,88.07489193,,,,,,,,,,,,3.17E-08,1.63E-07,,,1.25,3.30575,6.467221667,0.410491667,1.034966667,0.210784167,8.1235075,22.22740208,137.1726133,47.03858269,5.226509188,1.35523614,50.04997666,3.52710045,5.838311844,0.083219598,59.49892828,,,3.35E+01,126.0527301
17,LTREB,9/29/2020,BG,3,COBBLE,31.5,,,25.00179783,130.4807631,,,1.217553688,18.85657479,100.0845664,6.643406165,16.24290116,1.752438304,124.7239678,,,,,,,,,,,,5.99E-08,4.13E-07,,,1.243902439,9.28935,8.286445364,0.873319364,1.289006727,0.637277455,11.08610618,,,,,,,,,,,,,2.50E+01,108.3710118
233,LTREB,9/29/2020,BG,2,COBBLE,24.75,,,17.67102377,99.6213611,,,1.459330144,16.6292822,35.55054479,3.107611579,5.790714238,0.833190314,45.28229242,,,,,,,,,,,,8.39E-08,5.79E-07,,,1.255319149,3.526875,3.279307956,0.39137269,0.642647848,0.191961627,4.505312051,,,,,,,,,,,,,1.77E+01,38.82985275
234,LTREB,9/29/2020,BG,4,COBBLE,34.75,,,9.130145868,53.3813638,,,1.2,13.7285405,52.18488684,4.446121129,7.378059547,1.033992352,65.04339842,,,,,,,,,,,,2.61E-08,3.01E-07,,,1.266666667,7.4504,6.446009167,0.675196361,1.145412125,0.475825958,8.742488014,,,,,,,,,,,,,9.13E+00,58.63089601
235,LTREB,9/29/2020,BG,5,COBBLE,12.25,,,22.72189202,123.7696557,,,1.146766169,74.77903976,41.42149283,4.396400697,4.989951936,1.367587269,52.17570244,,,,,,,,,,,,2.17E-08,2.89E-07,,,1.289473684,2.842,3.363760694,0.271645726,0.435044919,0.181680935,4.252155194,,,,,,,,,,,,,2.27E+01,44.78525353
21,LTREB,10/20/2020,BG,3,COBBLE,40,39.94394973,0.896762951,4.329482667,17.909537,7.610746488,2.340663542,1.119601329,11.06303832,8.959552173,1.496396943,0.647483276,0.182441979,11.28592923,,,,,,,,,,,,1.95E-08,1.49E-07,,,1.277777778,11.94,7.081592727,0.540058182,0.26884,-0.54616,7.344370909,,,,,,,,,,,,,4.33E+00,16.0411449
22,LTREB,10/20/2020,BG,4,COBBLE,20,95.32695391,11.20076801,8.347962799,34.76680978,38.15362739,-2.268239704,1.041033435,16.10911292,36.60913691,-0.295063656,4.067074933,0.428049404,40.80944754,,,,,,,,,,,,9.27E-09,5.41E-08,0,7.136181818,1.238095238,4.546,4.267596364,0.082592727,0.183070909,0.509932727,5.043225455,,,,,,,,,,,,,8.35E+00,40.87673327
23,LTREB,10/20/2020,BG,5,COBBLE,40,433.9100848,104.6308006,8.938399944,36.26804006,8.413027803,5.047816682,1.299363057,5.975866955,11.20389143,1.69864388,1.056995374,0.378220999,14.33782241,,,,,,,,,,,,2.04E-08,1.35E-07,0,15.6996,1.285714286,11.124,9.305496,0.92576,1.0323,1.101936,12.36556,12.44438941,129.2657413,13.66998528,2.358072461,1.490566038,14.50759187,6.993492793,-0.070929048,0.091322669,21.52154484,,,2.14E+01,35.0169793
249,LTREB,10/20/2020,BG,1,COBBLE,30,,,3.369583864,12.91245114,27.26507786,11.77137115,1.24912892,11.10162134,32.97037238,3.155639467,5.924716415,0.569235891,42.62017584,,,,,,,,,,,,3.08E-08,2.44E-07,-127.359,233.892,1.161290323,3.936,10.428021,1.011369,1.078902,0.420945,12.939306,,,,,,,,,,,,,3.37E+00,43.39839338
250,LTREB,10/20/2020,BG,2,COBBLE,45,,,6.3276155,27.47111119,55.76635573,24.99871119,1.133898305,19.73392932,68.09041476,4.911770891,10.34111398,0.86384401,84.20758503,,,,,,,,,,,,1.76E-08,1.41E-07,2.67,18.8235,1.16,11.106,13.98822,1.22715,1.86024,0.76888,17.844585,,,,,,,,,,,,,6.33E+00,82.07863476
29,LTREB,6/22/2021,BG,1,COBBLE,14.25,199.3786002,561.7088886,4.559811613,17.01160486,0.81945076,16.47096028,1.19266055,13.32429567,10.51841164,2.698167242,0.329805036,0.152985626,13.69942917,,,,,,,,,,,,8.41E-08,6.90E-07,-738.1215,969.830775,5882.352941,32.78925,-146.998326,-235.833396,-308.55012,-87.48267375,-778.8652568,3.497570371,8.588970278,1.298634347,8.840703057,1.467532468,6.288221347,2.417265852,0.129394639,0.062557061,8.897470701,,,8.06E+00,-130.191693
30,LTREB,6/22/2021,BG,2,COBBLE,11.1875,10.82218989,47.05570747,20.66530007,170.355731,2.294462128,49.78982818,1.334763948,16.80641334,31.5723816,7.227809416,1.449208797,0.735018891,40.98460408,,,,,,,,,,,,8.50E-08,8.39E-07,-1302.35925,1699.638563,2837.837838,29.93775,-260.0789114,-424.1340224,-553.4471353,-160.3850181,-1398.046419,90.82932705,592.132005,19.50761067,233.1159475,1.435897436,157.059317,56.06505571,3.618077281,0.467013661,217.2102673,,,1.11E+02,-71.44721285
31,LTREB,6/22/2021,BG,3,COBBLE,15.25,10.39217205,114.9318055,19.17459242,97.74365406,1.997898996,38.03500214,1.263598326,28.89283707,24.61226926,6.180451906,0.887849103,0.481555391,32.1622669,,,,,,,,,,,,6.61E-08,4.24E-07,-997.57875,1331.055075,4318.181818,37.2405,-186.5258763,-308.4069873,-412.3845525,-93.888394,-1001.206557,66.06515805,327.6110743,28.96485287,288.0686276,1.45505618,186.0071864,72.9291109,11.25648937,2.070360739,272.2640843,,,8.52E+01,24.09357943
32,LTREB,6/22/2021,BG,4,COBBLE,17.0625,0.443120154,1.087339692,0.800889988,69.196895,1.710701015,27.92719407,1.269230769,7.528365891,18.24704662,3.538609077,0.558595138,0.309366183,22.65372594,1.199581209,8.397068463,0,2.006015461,1.5,2.096110323,1.204899773,0.122919824,0.074334891,0.043098112,1.445260491,1.08E-07,3.18E-07,-674.24175,897.4704375,8653.846154,15.41938125,-128.5180089,-211.0295631,-272.8737375,-67.52429775,-679.9461533,108.8582718,212.3715336,-214.7741421,669.5583879,2.335403727,166.4687931,169.9211265,14.77291157,2.881442468,354.0446557,,,1.11E+02,57.40273051
271,LTREB,6/22/2021,BG,5,COBBLE,7,,,3.633819101,14.04421977,0.524448486,9.295849422,1.318584071,9.821132705,6.032628309,1.282352663,0.197505434,0.030445511,7.542966782,0.289957251,1.973580001,0.024973737,0.709254144,1.452380952,0.544184286,0.43162971,0.040427056,0.019440979,0.011364454,0.502865004,2.12E-07,1.46E-06,-601.818,790.2132,1181.818182,19.152,-118.376293,-191.849161,-252.70714,-69.622462,-632.555637,42.99929332,50.79899948,6.181000019,49.70554182,1.62804878,34.85068313,12.55321556,0.345022881,0.283245676,48.03234666,,,4.69E+01,-77.06135186
37,LTREB,7/7/2021,BG,3,COBBLE,7,41.30370894,1.774818982,33.19542854,216.0438742,1.460963641,64.50154474,1.404639175,25.680859,39.29415742,8.192353616,1.605358283,1.738072512,50.83018351,,,-0.355875759,13.30975337,1.541463415,6.69432958,7.568957235,0.690617229,0.460458247,0.238544054,8.958626415,1.67E-06,1.21E-05,,,3.014336918,10.619,21707.03389,7759.637053,1715.924,3032.772842,34215.50558,160.63406,540.1592459,9.660153817,625.9779674,1.521126761,384.089971,41.59923938,32.40020414,4.659558913,462.7513975,,,1.94E+02,22137.98698
293,LTREB,7/7/2021,BG,1,COBBLE,13.5,,,5.070159759,23.80397039,-1.529641419,37.98864464,1.182926829,9.068997625,21.02968525,2.349157121,2.014471579,0.309599423,25.70304628,0.434935877,2.862158674,-0.009365152,1.425376065,1.061032864,0.621888153,0.847921522,0.013034748,0.102942342,0.007785668,0.971689962,2.01E-08,6.97E-08,,,1.684210526,4.58595,1003.178571,159.5982857,54.44164286,48.49971429,1265.724643,6.173283415,25.56125164,-0.218520203,41.44235644,1.295801527,24.2284287,0.960761719,3.290687139,0.202777745,28.6828149,,,1.17E+01,1049.284607
294,LTREB,7/7/2021,BG,2,COBBLE,14.625,,,13.52510275,97.14503264,0.749212123,25.78788129,1.225296443,15.26484626,15.8547989,2.387971939,1.0429796,0.633434438,19.91928589,6.705261436,71.46510898,-0.404262375,8.327804924,1.502617801,4.587696615,4.574942342,0.25109863,0.312092068,0.067670364,5.205833469,2.93E-08,8.14E-08,,,1.661538462,8.58195,5591.66323,704.1190855,202.6324539,303.3502105,6801.801928,102.3581151,466.3128983,3.961459103,220.653272,1.679012346,132.9025983,18.32001985,11.87182527,3.497345237,166.5926269,,,1.23E+02,5744.99557
295,LTREB,7/7/2021,BG,4,COBBLE,15.125,,,27.57809139,162.4403658,2.310070714,77.53174834,1.181818182,29.28685156,47.99527612,5.474844881,2.809233087,1.92332962,58.20299734,2.857481944,23.39183357,-0.162329293,6.355191838,1.488372093,2.897000311,3.621894235,0.221177918,0.278169332,0.071162852,4.192428199,1.68E-07,1.18E-06,,,1.586592179,32.110375,14541.13368,1924.462207,700.5376159,1061.434134,18227.66577,104.7507532,415.061862,4.16437072,239.2430978,1.545454545,144.7020643,17.90106224,12.29477426,1.0309469,175.9297445,,,1.35E+02,14737.45292
296,LTREB,7/7/2021,BG,5,COBBLE,7.5,,,6.629264576,6.792950121,0.218520203,29.15059504,1.130890052,26.38610987,17.57523616,1.15560849,1.015014883,0.253686405,19.99966052,,,,,,,,,,,,7.94E-08,4.88E-07,,,1.595505618,13.0725,5029.916379,579.6977586,270.8032759,288.3843103,6168.835345,31.4272434,94.43512186,2.216419199,84.66721339,1.685840708,52.78296481,5.948977045,5.031460433,0.399588422,64.16332069,,,3.81E+01,5100.27458
42,LTREB,7/20/2021,BG,2,COBBLE,18.5,6.746182822,1.73623596,45.95120923,240.1126644,-0.536935355,75.70788508,1.344473008,29.71243398,43.07577059,7.297063087,2.711013757,2.240218983,55.32434192,51.98419075,333.4227786,-2.416209098,77.7750862,1.408268734,23.54873786,43.12693731,3.580920422,3.202481547,1.923123464,51.83375233,6.72E-07,3.56E-06,-1.503326087,64.49268913,2.28,48.0815,34.734712,6.815622,3.445030587,4.567428,49.5630355,112.824946,539.1071771,0,326.5117943,1.377777778,189.3611942,60.86530884,4.727317082,5.191089517,260.1459502,,,2.11E+02,310.2986141
43,LTREB,7/20/2021,BG,3,COBBLE,27.25,73.58016006,4.126044919,33.38951283,220.5364578,-0.340267173,62.1497991,1.416015625,18.5426493,35.91623172,5.845291097,2.574804245,1.711056418,46.04761287,42.79207821,301.912142,-10.76992428,125.1652504,1.386764706,30.44551139,63.76598049,0.706516503,2.181803213,-1.485694481,65.16901523,4.09E-07,2.35E-06,-4.630022727,93.98946136,2.299168975,64.528,48.63667819,8.763593807,5.3607835,5.645434523,68.40682693,119.1886731,480.3264385,-8.821972754,715.903089,1.374717833,407.7087594,74.68070873,45.09945287,11.24063884,538.7320545,,,1.95E+02,556.0276498
44,LTREB,7/20/2021,BG,4,COBBLE,27.75,79.91128311,9.41074966,15.06140851,86.47098133,-0.705508083,55.40002221,1.401847575,13.46278533,31.72146729,3.708589775,2.274102914,1.400905865,39.10527393,25.36190603,158.2067561,-3.078013141,100.2889105,1.415172414,23.89037298,54.91710349,4.038558035,5.198533632,1.971357221,66.12591924,5.62E-07,3.72E-06,50.47551563,-8.983715625,2.871244635,78.033,44.14327955,0.047211422,9.292956422,6.320581078,59.80438055,95.40011032,546.8192656,-8.022813156,472.7442652,1.320754717,266.7379996,45.19134966,26.76985137,6.177851586,344.8786899,,,1.36E+02,397.51985
45,LTREB,7/20/2021,BG,5,COBBLE,32.75,46.36860737,2.66105929,22.99197317,151.0583745,-3.558757587,66.25220374,1.537931034,11.02392917,35.055696,3.632860605,1.950382982,1.132618476,41.77178631,42.23087063,336.783009,2.840762635,144.9225984,1.530398323,31.67315297,87.06296729,7.44573053,9.92883452,3.569226329,108.0073398,4.80E-07,3.82E-06,-3.0604875,88.14204,1.796153846,70.11775,47.1303285,-1.7824253,7.882026013,3.386142038,56.61642495,88.8752175,396.7514562,-6.561849515,263.7863505,1.327102804,146.61082,18.5748695,15.19787631,4.047985305,184.432485,,,1.54E+02,315.8598118
120,LTREB,7/20/2021,BG,1,COBBLE,12,,,10.43846105,46.69247092,-0.499474749,33.29498677,1.249457701,8.743614145,18.79904391,5.293909668,0.933926865,0.927169552,25.95416036,15.22275569,76.4645332,-1.311121216,68.30941536,1.966135458,20.95408814,39.35964144,3.061492592,3.477002269,1.434093723,47.33249239,1.64E-07,6.65E-07,-1.602,65.5218,1.576785714,26.46,37.1315388,5.8616232,2.781954,2.0613606,47.8367172,101.1590089,259.5678597,-2.491130311,534.3474516,1.38538206,311.6586608,67.56287816,22.35361203,5.181168513,406.7581482,,,1.27E+02,406.948885
51,LTREB,8/3/2021,BG,3,COBBLE,18.5,43.91304368,3.349523452,3.642003378,15.46828401,0.218520203,22.72610108,1.248322148,5.152002531,13.75924569,2.727479961,0.907143654,0.408460909,17.80241369,,,,,,,,,,,,9.13E-08,5.46E-07,0,32.12733125,2.004672897,30.9875,17.89594879,4.322474125,1.132273229,2.04324175,25.3940566,,,,,,,,,,,,,3.64E+00,31.65519448
142,LTREB,8/3/2021,BG,1,COBBLE,28.375,,,7.051339446,36.12189225,-8.085247499,38.56663057,1.143333333,9.469559538,14.56766022,1.87106254,0.824032938,0.29997566,17.56282307,0.589267962,1.814571185,-0.024973737,2.122767683,1.254237288,0.569625697,1.222011647,0.118056469,0.130365154,0.013182392,1.483623426,7.95E-08,3.03E-07,-1.377477273,40.911075,1.544871795,33.681125,22.07995853,3.41510021,1.438264261,1.490231784,28.42370053,3.835822431,14.68168469,-0.312171718,30.19480944,1.192592593,17.55350954,2.81789138,1.512590939,0.146006337,22.0301043,,,1.15E+01,55.42313993
143,LTREB,8/3/2021,BG,2,COBBLE,28.375,,,13.35323293,71.82170963,-0.880324245,43.39998528,1.176616915,14.00166153,24.86583535,3.58409674,2.076350789,0.524044604,31.05048245,1.021865474,2.221446683,-0.177937879,8.855375128,1.268292683,1.903557663,5.040872603,0.544911986,0.54185994,0.103815979,6.231492719,5.15E-08,1.40E-07,2.39E-15,14.46351136,1.448275862,29.595125,8.336135188,1.108037301,0.679425187,0.520087955,10.64374109,16.56012407,10.18511487,-0.437040405,36.61305996,1.285407725,21.21514641,3.820254072,2.050067742,0.271986449,27.35758194,,,3.09E+01,59.45798956
144,LTREB,8/3/2021,BG,4,COBBLE,19,,,3.019998307,16.13121047,-0.393336365,20.07982142,1.142857143,9.06736077,11.37348304,1.286596866,2.172561492,0.17257989,15.00529323,,,,,,,,,,,,6.45E-08,3.07E-07,-0.6764,23.56126667,1.586956522,35.226,12.82115947,2.317988178,0.8423916,0.916705244,16.89832809,7.349936418,16.34985856,-0.694582073,46.49532395,1.35483871,26.46989741,3.250026001,1.916867022,3.577602873,35.21458789,,,1.04E+01,50.66453992
